word,definition
contradistinguish,to distinguish by contrasting qualities
contrahent,a contracting party
contrail,condensation trail
contrair,against
contranatant,swimming upstream
contraplex,having messages passing both ways simultaneously
contraposition,opposition; contrast
contrariant,opposed or acting contrary to; one who is opposed to something
contraterrene,opposite in character to earthly or terrestrial
contravallation,fortification built around besieged place
contredanse,folk dance in which two lines of couples face each other
contretemps,embarrassing occurrence; mishap
contrist,to sadden
contriturate,to pulverize
contubernal,living together in the same tent; cohabiting
contumacious,stubborn; obstinate; opposing lawful authority
contumely,insolence; a scornful insult
contumulation,lying in the same tomb as another
conurbation,city surrounded by many urban areas
conure,tropical parrot-like bird of Central and South America
convenances,what is suitable or proper; the required proprieties
conventicle,secret or illegal church assembly
convicinity,neighbourhood
convolve,to roll together
copacetic,very satisfactory; fine
coparcenary,joint heirship or ownership
cophosis,deafness
coprolalia,pathological use of obscene language
coprolith,ball of hardened feces
coprology,study of pornography
copromania,obsession with feces
coprophagous,eating feces
coprophemia,obscene language
coprophilia,abnormal love or fondness for feces
coprostatis,constipation
copyhold,land tenure dependent on will of the lord of the manor
coquelicot,brilliant red; poppy red
coquicide,killing of a cook
coquillage,shell-like decoration
coracoid,shaped like a crow's beak
coralliferous,bearing coral
coralligenous,producing coral
coram,in the presence of; before
corban,offering to God in fulfilment of a vow
corbeau,blackish green
corbeil,basket filled with earth used as a missile
corbel,bracket or projection from the face of a wall
corbiculate,like a small basket
cordage,ropes in the rigging of a ship
cordate,heart-shaped
cordiform,heart-shaped
cordovan,soft goatskin leather
cordwainer,shoemaker
corella,cockateel
corf,miner's basket trolley or wagon
coriaceous,having a leathery appearance; consisting of like or pertaining to leather
corium,skin layer
corm,swollen subterranean part of a stem
cornet,military rank of horn-bearer or standard-bearer
cornice,moulding at the junction of ceiling and walls
corniculate,horn-shaped; horned
cornific,producing or forming horns
corniform,shaped like a horn
cornigerous,horned
cornuted,cuckolded
cornuto,cuckolder
coronach,funeral dirge
coronagraph,instrument for viewing the corona of the sun
coronoid,shaped like a beak
corpocracy,government by corporate bureaucrats
corporal,white cloth on which Communion bread and wine are placed
corposant,St. Elmo's fire or similar electrical discharge
corrade,to wear away through the action of loose solids
correption,shortening in pronunciation
corrigendum,something which requires correction
corrivate,to cause to flow together
corrody,right of lord to demand free lodging from vassal
corsetier,corset maker
corslet,armour for the torso
cortege,train of attendants; procession
cortinate,like a cobweb
coruscate,to sparkle; to throw off flashes of light
corvette,highly manoeuvrable armed escort ship
corviform,shaped like a crow
corvine,crow-like; of like or pertaining to crows or ravens
corybantic,wildly excited; frenzied
coryphaeus,spokesman; leader of a chorus
coscinomancy,divination using a sieve and a pair of shears
cosher,to live on dependents
cosmarchy,rulership over the entire world esp. by the devil
cosmetology,study of cosmetics
cosmism,belief that the cosmos is a self-existing whole
cosmocrat,ruler of the world
cosmogenic,produced by interaction of cosmic rays with earth's surface
cosmogony,theory of the origin of the universe
cosmography,description of the universe or cosmos
cosmolatry,worship of the world
cosmoplastic,moulding or shaping the universe
cosmorama,a view of different parts of the world
cosmosophy,knowledge of the cosmos
cosmotellurian,of like or pertaining to both heaven and earth
cosmotheism,the belief that identifies God with the cosmos
cosset,to fondle or pamper
costal,of like or pertaining to the ribs
costellate,ribbed
costive,affected with or causing constipation
coteau,uplands; higher ground of a region
cotehardie,medieval long close-fitting garment with tight sleeves
coterie,a social or literary circle
cothurnal,of like or pertaining to tragedy
coticular,of like or pertaining to whetstones
cotillion,elaborate ballroom dance with frequent changes of partner
cotquean,man who does women's work
cotta,short surplice worn over a cassock
cottar,medieval peasant inhabiting a cottage
cottonocracy,government by those involved in the cotton trade
cotyliform,disc-shaped with a raised rim
couchant,in heraldry an animal lying on its belly with head lifted
couchee,evening reception
coulée,steep and dry gully
couloir,gully
coulombmeter,instrument for measuring electric charge
coulometer,instrument measuring amount of substance released in electrolysis
coulrophobia,fear of clowns
coulter,iron cutter in front of a ploughshare
countenance,approve of; condone; encourage
counterblast,a defiant pronouncement or denunciation
counterfoil,part of ticket or cheque retained by giver
countermand,to revoke an order by a contrary order
counterphobic,seeking out situation that is feared
counterscarp,narrow earth band on the outer wall of a defensive ditch
coupe,four-wheeled closed horse-drawn carriage
courante,quick Italian baroque dance involving running steps
courgette,zucchini
couter,armor for the elbow
couvade,symptoms of pregnancy suffered by the father
couveuse,incubator for babies
covinous,fraudulent
cowcat,person whose function is to occupy space
coxalgia,hip pain
coxcomb,foolishly vain or conceited man
coypu,large aquatic South American rodent
cozen,to coax or deceive by trickery
crachoir,spittoon
crackjaw,hard to pronounce
crambo,game in which rhyme must be found for given word
cramoisy,crimson
crampon,boot-spike for rock and ice climbing
craniometer,instrument for measuring the skull
crapehanger,pessimist
crapulent,physically ill through overeating or overdrinking
craquelure,fine cracking that appears in old paintings
crash,coarse drapery and towelling fabric
crasis,blending; melding two vowels into a diphthong
crassilingual,having a thick tongue
crassitude,state of being coarse gross or crass
crateriform,cup-shaped
cratometer,instrument for measuring power of magnification
creancer,guardian or mentor
creant,creating; formative
creatic,of like or pertaining to flesh
creatophagous,carnivorous; flesh-eating
crebrous,frequent
credal,of like or pertaining to a creed
credence,small table for holding sacred vessels
credenda,things to be believed
credenza,credence table or shelf; a sideboard
credo,concise statement of doctrine; section of Mass followed by offertory
cremaillere,zigzag line of fortification
cremaster,muscle by which the testicles are suspended
cremnophobia,fear of cliffs and precipices
crenate,scalloped
crenel,open space on a parapet used for launching projectiles at enemies
crenellated,notched; having battlements
crenitic,of like or pertaining to mineral springs
creophagous,flesh-eating; carnivorous
crepance,sore on a horse's hind ankle-joint
crepe,light crinkled fabric
crepehanger,pessimist; gloomy person
crepitate,to crackle; to snap; to rattle
crepitus,fart
crepon,heavy crepe fabric with lengthwise crinkles
crepuscular,of like or pertaining to twilight
crescive,growing; increasing
crescograph,instrument for measuring the growth of plants
cresset,iron basket for burning oil to provide light
cretaceous,of or resembling chalk; of a whitish colour
